time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
45.7138,0.1102,1.2348,0.2015,293.1386,207.1582,163.447
45.72776,0.1089,1.2353,0.2038,293.8766,206.1321,164.5162
45.73881,0.1087,1.2326,0.2063,294.432,206.1089,164.7358
45.74726,0.1077,1.2305,0.2083,294.88,206.4202,164.8171
45.75921,0.1067,1.2284,0.21,295.3335,207.2374,164.498
45.76961,0.1065,1.2271,0.2109,295.657,208.0705,163.9942
45.78122,0.1076,1.2266,0.2104,295.8534,209.0904,163.0605
45.80505,0.1086,1.2345,0.2069,295.8242,209.6363,162.2973
45.81594,0.1118,1.2355,0.2032,295.709,209.9808,161.3126
45.82777,0.1114,1.2339,0.2041,295.92,208.6371,162.3888
45.83678,0.1121,1.2327,0.2043,296.1824,208.1514,162.6748
45.84794,0.1014,1.2308,0.2053,296.442,207.9541,162.8184
45.85986,0.1013,1.2296,0.2057,296.7476,208.0213,162.8495
45.87058,0.101,1.229,0.2057,296.9535,208.2151,162.7938
45.88087,0.1009,1.2286,0.2052,297.1347,208.4156,162.6761
45.89173,0.1013,1.2286,0.2044,297.2474,208.4884,162.5576
45.90241,0.102,1.2288,0.2031,297.3617,208.5309,162.3904
45.91395,0.0995,1.2332,0.2064,297.4791,208.4969,162.3458
45.92515,0.0997,1.2332,0.2053,297.7279,208.3696,162.4411
45.93632,0.0998,1.2328,0.2049,298.0732,208.2186,162.6231
45.94721,0.1001,1.2325,0.204,298.5691,208.177,162.7358
45.9587,0.0998,1.2457,0.1973,299.1831,208.3276,162.7169
45.96958,0.1002,1.2455,0.196,299.8172,208.5667,162.625
45.9808,0.1011,1.245,0.1941,300.7515,208.8285,162.5428
45.99165,0.093,1.2521,0.1865,301.8435,208.9234,162.68
46.00289,0.0935,1.2493,0.1865,303.5207,208.8219,163.1706
46.01397,0.0938,1.2462,0.1876,305.2762,208.6801,163.7528
46.02508,0.0941,1.2416,0.1899,307.7587,208.6554,164.5042
46.03646,0.0945,1.2361,0.1941,310.7375,208.7845,165.3729
46.04755,0.095,1.231,0.1993,313.5605,208.9321,166.2533
46.05906,0.0954,1.2242,0.2084,317.4828,209.0905,167.6467
46.06981,0.0895,1.2858,0.1432,321.0204,209.2331,168.9846
46.08086,0.0876,1.2734,0.1522,325.5803,209.5019,170.7211
46.09197,0.0865,1.2633,0.1615,329.645,209.7773,172.3054
46.10259,0.0746,1.285,0.1244,334.5697,210.1071,174.284
46.11464,0.0732,1.2706,0.1362,339.6367,210.4346,176.3113
46.12645,0.0733,1.2601,0.1466,343.6991,210.599,177.9088
46.13639,0.0415,1.2732,0.1192,348.6729,210.7243,179.812
46.14743,0.0427,1.2615,0.1293,352.7701,210.7117,181.3693
46.1592,0.0453,1.2484,0.1431,357.8657,210.4859,183.3239
46.17052,0.0477,1.2391,0.1564,2.1257,210.1809,185.0244
46.18097,0.0505,1.2301,0.1729,7.0049,209.7368,187.0247
46.1925,0.0531,1.2241,0.1876,11.1802,209.2885,188.6995
46.2035,0.056,1.2187,0.2056,16.1233,208.6047,190.6808
46.214,-0.0088,1.2646,0.1045,19.5269,207.9529,192.0849
46.22486,-0.0051,1.2536,0.1144,23.5516,206.8954,193.8292
46.23685,-0.0024,1.2451,0.1235,27.0535,205.6303,195.5059
46.24828,-0.0781,1.2448,0.1353,29.6442,204.4247,196.9284
46.25919,-0.0778,1.2406,0.1395,32.3573,202.8405,198.643
46.27032,-0.0784,1.2387,0.1424,34.2393,201.5061,199.9986
46.28139,-0.0794,1.2381,0.1452,36.0404,199.8658,201.4513
46.29178,-0.0798,1.2385,0.1465,36.8482,198.6846,202.1274
46.30286,-0.0797,1.2402,0.1481,37.5714,197.0599,202.7107
46.31429,-0.0796,1.2433,0.1491,37.7431,195.672,203.0596
46.32553,-0.1646,1.2514,0.2007,37.3535,194.0142,203.5705
46.33646,-0.168,1.262,0.1959,36.199,192.1865,204.1843
46.34807,-0.1705,1.273,0.1913,34.6938,190.5788,204.6037
46.35921,-0.2285,1.2763,0.2631,32.2064,188.7415,204.9637
46.37038,-0.2331,1.2928,0.2573,29.2872,187.3913,205.4806
46.38111,-0.2387,1.3189,0.2468,23.9201,185.7747,206.1735
46.3913,-0.2421,1.3453,0.2352,17.6398,184.4237,206.541
46.40327,-0.2887,1.3214,0.3624,7.8136,182.4176,206.0687
46.41502,-0.2859,1.3353,0.3298,356.8353,180.4284,205.0108
46.42538,-0.2778,1.3629,0.286,343.0991,178.5282,203.8225
46.43686,-0.2625,1.4139,0.2392,326.1065,176.8174,202.1898
46.44735,-0.2462,1.476,0.2094,310.3829,175.8865,200.3431
46.45892,-0.2237,1.5809,0.192,289.0874,175.4118,197.254
46.46992,-0.3061,1.3435,0.4854,271.0717,282.5439,86.0537
