directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,vel_at_release_x,vel_at_release_y,vel_at_release_z,ang_vel_at_release_x,ang_vel_at_release_y,ang_vel_at_release_z
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,1,1,1,13.21455,14.61438,Red,20,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,2,1,2,14.70279,15.84292,Black,30,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,3,1,3,16.25533,18.4906,Miss,30,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,4,1,4,18.90324,20.17659,Black,40,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,5,2,1,20.83627,22.38457,White,45,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,6,2,2,23.3447,25.09201,White,50,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,7,2,3,25.85188,28.8018,Black,60,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,8,2,4,29.3146,31.09059,Blue,75,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,9,3,1,31.43628,32.93401,White,80,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,10,3,2,33.27519,34.88866,Red,100,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,11,3,3,35.19923,37.60316,Miss,100,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,12,3,4,37.64725,,,,,,,,,
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,13,4,1,41.23344,41.33976,Miss,100,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,14,4,2,43.423,45.39616,Red,120,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,15,4,3,46.49494,48.41634,White,125,0,0,0,0,0,0
throwing_experiment/P_190411205157/S001,throwing_experiment,P_190411205157,1,16,4,4,48.975,51.36509,Black,135,0,0,0,0,0,0
