timestamp,log_type,message
14.94422,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.95599,Log,Hit Blackzone
14.95599,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.96672,Log,Hit Blackzone
14.96672,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.97796,Log,Hit Blackzone
14.97796,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.98925,Log,Hit Blackzone
14.98925,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.00089,Log,Hit Blackzone
15.00089,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.01208,Log,Hit Blackzone
15.01208,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.02334,Log,Hit Blackzone
15.02334,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.0347,Log,Hit Blackzone
15.0347,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.04543,Log,Hit Blackzone
15.04543,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.05676,Log,Hit Blackzone
15.05676,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.06786,Log,Hit Blackzone
15.06786,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.08097,Log,Hit Blackzone
15.08097,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.09031,Log,Hit Blackzone
15.09031,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.10137,Log,Hit Blackzone
15.10137,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.11279,Log,Hit Blackzone
15.11279,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.12366,Log,Hit Blackzone
15.12366,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.13481,Log,Hit Blackzone
15.13481,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.14622,Log,Hit Blackzone
15.14622,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.15808,Log,Hit Blackzone
15.15808,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.16825,Log,Hit Blackzone
15.16825,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.17993,Log,Hit Blackzone
15.17993,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.1911,Log,Hit Blackzone
15.1911,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.20247,Log,Hit Blackzone
15.20247,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.21316,Log,Hit Blackzone
15.21316,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.22457,Log,Hit Blackzone
15.22457,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.23553,Log,Hit Blackzone
15.23553,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.24695,Log,Hit Blackzone
15.24695,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.2578,Log,Hit Blackzone
15.2578,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.26883,Log,Hit Blackzone
15.26883,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.28206,Log,Hit Blackzone
15.28206,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.29144,Log,Hit Blackzone
15.29144,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.30231,Log,Hit Blackzone
15.30231,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.31394,Log,Hit Blackzone
15.31394,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.32482,Log,Hit Blackzone
15.32482,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.33605,Log,Hit Blackzone
15.33605,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.3472,Log,Hit Blackzone
15.3472,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.35847,Log,Hit Blackzone
15.35847,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.36957,Log,Hit Blackzone
15.36957,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.38055,Log,Hit Blackzone
15.38055,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.39213,Log,Hit Blackzone
15.39213,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.4031,Log,Hit Blackzone
15.4031,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.41444,Log,Hit Blackzone
15.41444,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.4254,Log,Hit Blackzone
15.4254,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.43718,Log,Hit Blackzone
15.43718,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.44765,Log,Hit Blackzone
15.44765,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.45908,Log,Hit Blackzone
15.45908,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.47078,Log,Hit Blackzone
15.47078,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.48332,Log,Hit Blackzone
15.48332,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
15.49282,Log,Hit Blackzone
