time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
21.62323,0.3175,1.2478,0.2828,353.0034,42.771,25.4254
21.63654,0.3258,1.2331,0.3003,348.526,42.1683,23.2392
21.64772,0.3084,1.2673,0.2516,357.9685,44.6162,29.3496
21.6561,0.3147,1.2579,0.2606,354.8621,44.4098,28.2812
21.66761,0.3237,1.242,0.2796,349.3386,44.2561,25.8619
21.69412,0.3286,1.2311,0.2967,345.0697,44.4294,23.5824
21.70512,0.3412,1.2168,0.3429,333.9262,45.6776,17.2408
21.71471,0.2906,1.2871,0.2042,357.7087,45.6444,29.2188
21.72395,0.2974,1.2753,0.2161,353.7532,45.1746,27.4499
21.73365,0.3065,1.262,0.2339,348.41,44.7991,25.0467
21.74502,0.3154,1.2528,0.252,343.2875,44.7097,22.8049
21.75486,0.2782,1.2965,0.1762,356.4868,48.0205,27.7294
21.7667,0.2851,1.2831,0.1909,351.4825,48.1293,25.2541
21.77823,0.2928,1.2711,0.2086,345.745,48.7902,22.3038
21.78927,0.2986,1.2645,0.2217,341.3141,49.7657,19.9452
21.80043,0.3035,1.2591,0.2353,336.6589,51.4045,16.9657
21.81148,0.3048,1.255,0.2482,332.7446,53.5018,13.492
21.8232,0.2675,1.3033,0.1275,357.9625,50.5595,25.8814
21.83345,0.2647,1.291,0.1363,354.7923,51.089,22.8106
21.84526,0.2626,1.2823,0.1434,352.473,51.4173,20.3977
21.85585,0.2607,1.2736,0.1513,350.0197,51.5785,17.7545
21.86685,0.2672,1.2796,0.1336,359.4493,50.9039,25.3465
21.87978,0.2678,1.2729,0.139,357.3376,50.1951,23.5478
21.88949,0.2707,1.2682,0.1434,355.2326,49.3433,22.3139
21.90015,0.275,1.2655,0.1464,353.4031,48.6154,21.6661
21.91182,0.2808,1.2632,0.1502,351.1944,47.8139,21.0905
21.92365,0.2854,1.2615,0.1536,349.372,47.2704,20.5971
21.93427,0.2647,1.2528,0.1589,359.2265,51.9105,25.232
21.9457,0.2667,1.2504,0.1638,357.5903,51.5576,24.1507
21.95594,0.2667,1.248,0.1678,356.4662,51.3948,23.1044
21.9665,0.2653,1.2455,0.172,355.5397,51.3272,21.9447
21.9789,0.2628,1.2405,0.2202,357.8967,50.5926,23.3732
21.98974,0.2618,1.2397,0.2242,356.8696,50.6666,22.2784
22.00052,0.2616,1.2392,0.2264,356.1052,50.7825,21.5927
22.0121,0.2692,1.2729,0.3485,355.85,50.2048,22.4225
22.02368,0.2704,1.2741,0.3481,355.2617,50.3975,22.1773
22.03393,0.2718,1.2749,0.3468,354.7252,50.6032,22.048
22.04539,0.2722,1.2755,0.3457,354.3179,50.7473,21.8606
22.05614,0.2722,1.276,0.3454,354.0178,50.8496,21.6282
22.0681,0.2716,1.2769,0.3458,353.6805,50.9431,21.2504
22.07915,0.2705,1.2938,0.3735,353.6264,50.882,21.3329
22.08986,0.2695,1.295,0.3742,353.4014,51.0365,20.8594
22.10085,0.2691,1.2957,0.3743,353.2704,51.2671,20.5011
22.11254,0.2694,1.296,0.3733,353.2122,51.7115,20.2134
22.12358,0.2751,1.3161,0.3959,351.9099,51.7603,19.1904
22.13443,0.2778,1.3152,0.3923,351.9715,52.4262,19.3194
22.1459,0.2801,1.3142,0.389,352.0631,53.037,19.4314
22.15579,0.2809,1.3137,0.3872,352.1201,53.4206,19.3772
22.16738,0.2811,1.3135,0.386,352.155,53.7533,19.202
22.17881,0.2807,1.3136,0.3859,352.132,53.9293,18.9543
22.18985,0.2732,1.3233,0.4002,350.2355,52.7024,17.022
22.20107,0.2731,1.3241,0.4006,350.135,52.9568,16.6546
22.21267,0.2735,1.3254,0.4011,349.9876,53.3749,16.1659
22.22349,0.2743,1.3265,0.4013,349.8709,53.903,15.662
22.23436,0.2795,1.3286,0.4006,350.0726,53.2007,17.1322
22.2457,0.2805,1.3291,0.4001,350.0614,53.7958,16.624
22.25702,0.281,1.3295,0.3999,350.0692,54.2503,16.1563
22.26796,0.281,1.3303,0.4004,350.0533,54.7171,15.4626
22.27934,0.2806,1.3312,0.4014,350.0094,55.0323,14.8267
22.29083,0.28,1.3326,0.403,349.9145,55.3341,14.0469
22.30151,0.2851,1.3284,0.3966,348.9526,54.1318,16.4549
22.31242,0.2843,1.3291,0.3981,348.879,54.2231,15.9181
22.32374,0.2831,1.3291,0.3996,348.8378,54.1974,15.4423
22.33438,0.2817,1.3288,0.4011,348.8186,54.0109,15.1449
22.34586,0.2933,1.3292,0.3974,348.8588,55.16,16.2799
22.35623,0.2914,1.3287,0.3996,348.7629,54.6336,16.207
22.36808,0.2885,1.328,0.4026,348.6303,53.7932,16.23
22.37916,0.2857,1.3275,0.4056,348.5156,52.959,16.2802
22.39043,0.2815,1.327,0.4103,348.4076,51.8555,16.2418
22.40175,0.2763,1.3269,0.4162,348.3548,50.6953,15.9861
22.41296,0.2958,1.3201,0.4038,350.1228,56.9693,15.7095
22.42446,0.2891,1.3203,0.4124,350.284,55.5705,15.2862
22.43484,0.2824,1.3199,0.42,350.6242,54.2847,14.9356
22.44602,0.2724,1.3194,0.4299,351.2446,52.4933,14.4671
22.45671,0.2981,1.3258,0.4303,350.1228,56.9693,15.7095
22.46753,0.2849,1.3222,0.4417,351.4486,54.4956,15.859
22.47933,0.2701,1.3181,0.454,352.9767,51.4331,16.4524
22.49063,0.2565,1.3153,0.4655,354.3348,48.3561,17.3107
22.50165,0.2375,1.3116,0.4803,356.6241,44.0985,18.6742
22.51286,0.2166,1.3038,0.4883,0.1518,40.43,19.9062
22.52489,0.3003,1.3589,0.5427,350.5711,58.1408,14.538
22.53459,0.2852,1.3256,0.5365,356.9807,55.7273,20.3722
22.54605,0.2844,1.2865,0.5041,4.9567,55.3574,30.6588
22.55665,0.2939,1.2641,0.458,11.674,57.1591,41.8287
22.5679,0.3091,1.3612,0.6579,351.1889,57.2767,13.6739
22.57893,0.3164,1.2926,0.5926,1.8473,54.7652,31.0901
22.59138,0.3168,1.2601,0.5175,12.7807,53.0935,46.3287
22.60239,0.3182,1.2593,0.4229,28.3387,51.683,65.7
22.61278,0.3292,1.291,0.3591,42.2684,53.3863,82.6391
22.62418,0.3519,1.3484,0.3146,55.0585,63.6795,105.3483
22.63543,0.3297,1.3208,0.8127,354.6096,50.5369,11.3906
22.64637,0.3659,1.2927,0.8058,353.3753,56.0142,16.6652
22.65711,0.4185,1.297,0.7959,346.2086,59.9262,23.2388
22.66856,0.2773,1.2324,0.8192,356.7219,42.3149,14.8168
22.67989,0.3397,1.2294,0.8006,350.8772,45.1811,25.186
22.69065,0.3547,1.2247,0.7985,348.7639,46.5539,26.7785
22.70737,0.2446,1.1354,0.6963,355.0801,37.2559,25.2379
22.7166,0.2078,1.1239,0.7225,354.709,36.2346,18.1927
22.72661,0.1683,1.1191,0.7314,356.3348,31.645,11.9975
22.73607,0.1367,1.1184,0.7263,358.6385,27.1547,7.8198
22.74615,0.1125,1.1194,0.7171,0.7308,23.492,4.6828
22.75622,0.091,1.1208,0.7064,2.773,20.2793,1.9457
22.76681,0.0806,1.12,0.7007,3.73,18.6778,0.7326
22.77858,0.2507,1.2263,0.3344,346.2466,37.8615,28.6613
22.78911,0.2534,1.2272,0.334,344.8685,37.8232,30.8285
22.79996,0.2565,1.2298,0.333,343.1496,37.9224,33.4188
22.81182,0.2591,1.234,0.3317,340.8217,38.1641,36.7248
22.8231,0.2322,1.2735,0.307,347.1473,34.278,29.0729
22.83364,0.2317,1.273,0.3075,345.4211,34.6215,30.9358
22.84528,0.2304,1.27,0.309,344.4153,34.8815,31.2654
22.85635,0.2289,1.2668,0.3105,344.1415,35.0325,30.6255
22.86716,0.2271,1.2628,0.3122,344.2345,35.1017,29.2692
22.87873,0.2267,1.2599,0.3136,344.4313,34.9597,28.0206
22.89016,0.2445,1.2755,0.3074,354.5803,32.8217,42.4488
22.90096,0.2493,1.2748,0.3086,354.5932,31.9218,41.9127
22.91285,0.2563,1.2752,0.3098,354.4047,30.8133,41.6836
22.92378,0.262,1.2753,0.3111,353.9698,29.9933,41.6351
22.93452,0.2609,1.2853,0.3059,0.6205,37.3927,27.1072
22.94592,0.2613,1.2829,0.3068,359.8846,37.3623,26.7738
22.95721,0.2598,1.2797,0.3075,359.1588,37.6067,26.3909
22.96831,0.257,1.2754,0.3084,358.1906,38.0521,25.902
22.97943,0.2552,1.2718,0.3091,357.3654,38.3858,25.5398
22.99054,0.2541,1.2682,0.3099,356.3831,38.6552,25.2455
23.00138,0.2617,1.2877,0.2998,2.2833,36.7328,29.9999
23.0123,0.2631,1.2857,0.3001,1.5069,36.6288,29.9822
23.0242,0.2655,1.2838,0.3004,0.7172,36.3882,29.948
23.03502,0.2693,1.2869,0.2986,2.098,35.3229,39.8143
23.04685,0.2709,1.2855,0.2984,1.7658,34.9846,39.5319
23.05686,0.2722,1.2842,0.2983,1.553,34.6729,39.2334
23.06789,0.2738,1.2827,0.2981,1.2494,34.3514,38.9354
23.0793,0.2694,1.2768,0.2991,1.3805,36.1864,37.321
23.09043,0.2709,1.276,0.2988,1.0148,36.0043,37.2696
23.10158,0.2731,1.2756,0.2985,0.4849,35.8108,37.3492
