time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
20.94343,0.3204,1.466,0.522,331.3797,330.2486,21.2437
20.95806,0.3172,1.4699,0.5122,327.0763,325.8162,26.7962
20.96941,0.312,1.4747,0.5,322.0257,319.8069,34.2243
20.97899,0.3077,1.4789,0.4903,317.6567,311.4867,44.3536
20.98774,0.3042,1.4829,0.4815,315.5122,304.878,52.6633
20.99667,0.3004,1.4871,0.4714,314.2755,297.5064,62.1876
21.00596,0.2969,1.4916,0.4619,314.1422,289.976,72.2844
21.0151,0.2936,1.4965,0.4513,315.3732,282.4704,83.0875
21.02561,0.29,1.5024,0.4393,321.8679,322.3843,31.306
21.03714,0.2855,1.5093,0.4235,318.6534,315.9196,42.1157
21.0482,0.2814,1.5145,0.4095,316.9009,310.4688,50.8491
21.05984,0.2759,1.5198,0.3918,313.1442,316.7945,32.7377
21.0855,0.2709,1.523,0.377,310.6115,311.4297,40.5939
21.098,0.2581,1.5299,0.3405,305.0379,294.6998,63.1529
21.10726,0.2496,1.5265,0.3263,301.5711,285.7523,73.5181
21.11672,0.2442,1.5251,0.3151,300.9228,278.7709,81.0663
21.12536,0.2397,1.524,0.3057,301.1973,272.5995,87.4741
21.13651,0.2352,1.5229,0.2958,300.2313,305.5588,44.3563
21.14805,0.23,1.5218,0.2851,299.444,296.8952,52.646
21.15886,0.2253,1.5206,0.2758,299.3995,288.2662,60.7006
21.16994,0.2217,1.5197,0.269,286.5362,277.2243,74.6044
21.18121,0.2179,1.5189,0.2617,287.4511,264.6192,86.4166
21.19178,0.2151,1.5182,0.2564,288.3366,255.4779,94.9777
21.20327,0.2125,1.5176,0.2506,286.7274,207.418,149.3088
21.21462,0.2106,1.5171,0.2461,288.5463,203.7026,152.8015
21.22602,0.2087,1.5164,0.2412,290.199,200.3371,156.1599
21.23707,0.2074,1.5159,0.2376,291.2126,198.6085,157.9622
21.2479,0.2061,1.5155,0.2338,292.0898,197.4924,159.168
21.25981,0.2048,1.5155,0.2308,292.791,196.7066,159.9202
21.27061,0.2037,1.5158,0.2287,293.3414,196.0143,160.4365
21.28189,0.2023,1.5164,0.2268,298.7621,184.4809,174.6827
21.29244,0.2011,1.5171,0.2255,299.1486,183.8945,174.9336
21.30368,0.1998,1.5179,0.2242,299.507,183.1998,175.3068
21.31452,0.199,1.5187,0.2232,308.9536,176.7018,181.5751
21.32565,0.1982,1.5197,0.2221,309.1665,176.3831,181.8751
21.33694,0.1977,1.5207,0.221,309.2165,176.3315,182.0103
21.34861,0.1973,1.5216,0.2202,309.2142,176.388,182.0579
21.35952,0.1971,1.5225,0.2193,309.1563,176.4895,182.09
21.37138,0.1969,1.5233,0.2187,309.1116,176.5123,182.1323
21.38129,0.1965,1.5242,0.2183,309.1505,176.3639,182.2522
21.39309,0.1961,1.5251,0.2181,315.2257,175.7636,184.2364
21.40367,0.1958,1.5259,0.2182,315.3273,175.494,184.3863
21.41567,0.1954,1.5267,0.2185,315.4169,175.1661,184.6222
21.4257,0.1952,1.5274,0.2186,317.9113,173.991,186.009
21.43741,0.195,1.5281,0.2189,317.9025,173.7256,186.3416
