time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
24.05268,0.1641,1.5662,0.4201,310.8121,262.0835,81.644
24.06424,0.1649,1.5681,0.4035,312.1808,253.8823,92.372
24.07472,0.1664,1.5693,0.3904,306.5395,285.8183,49.2168
24.08357,0.1678,1.5703,0.3774,305.5698,278.9367,57.9191
24.09497,0.1695,1.5695,0.363,304.7398,269.5737,69.1273
24.10616,0.1706,1.5686,0.3518,304.8161,261.1479,78.7199
24.11789,0.1713,1.5682,0.3384,296.6514,269.8103,65.1321
24.1284,0.1719,1.5678,0.328,297.0681,258.1643,77.1224
24.13976,0.1727,1.5673,0.3161,299.0188,245.7323,89.902
24.15141,0.1734,1.5664,0.3044,301.9567,235.9774,99.9297
24.16236,0.174,1.5653,0.2951,304.8011,229.8733,106.1516
24.17401,0.1747,1.5637,0.2844,308.4101,224.5113,111.5166
24.20064,0.1755,1.5621,0.2758,289.8056,237.9803,96.3383
24.21286,0.1764,1.5585,0.2556,296.6697,221.4254,111.9461
24.22383,0.1769,1.5547,0.2489,292.4948,194.8951,143.6131
24.23262,0.177,1.5519,0.2431,294.8555,191.5484,146.3659
24.24074,0.1771,1.5492,0.2384,296.8623,189.0618,148.4447
24.25009,0.1773,1.5472,0.2352,298.3033,187.6614,149.5876
24.26033,0.1775,1.545,0.2313,301.8733,172.627,169.6894
24.27171,0.1778,1.5426,0.2275,304.0912,172.1902,169.6939
24.28322,0.1781,1.5405,0.2246,306.0837,171.8475,169.5899
24.29372,0.1782,1.539,0.2229,307.5899,171.5929,169.432
24.30536,0.1783,1.5375,0.2218,309.2201,171.2252,169.2201
24.31709,0.1783,1.5364,0.2216,310.7011,170.6751,169.1289
24.32826,0.1782,1.5358,0.2222,311.788,170.0593,169.2207
24.33898,0.1782,1.5352,0.2236,311.1593,162.9037,181.4489
24.35036,0.1783,1.535,0.2255,311.7835,162.1809,181.8056
24.36153,0.1786,1.5349,0.2285,312.2019,161.1705,182.5063
24.37242,0.1787,1.5349,0.2317,319.5194,160.6828,185.9495
24.38411,0.1786,1.5353,0.2367,319.2792,159.149,187.0174
24.39492,0.1783,1.5358,0.2428,318.691,157.3191,188.2677
24.40668,0.1779,1.5366,0.2489,318.0367,155.6175,189.3649
24.41751,0.1774,1.5386,0.2575,317.3366,153.3277,190.8096
24.42807,0.1768,1.5408,0.2658,316.7681,151.0968,192.2508
24.43901,0.1756,1.5438,0.2771,315.8252,147.8978,194.3495
24.45073,0.174,1.5466,0.2882,324.8791,158.9615,189.1637
24.46191,0.1715,1.5503,0.3034,322.572,155.4694,191.1256
24.47237,0.1687,1.555,0.3212,319.9434,151.5628,193.5682
24.48432,0.1661,1.5599,0.3387,325.2729,157.2799,190.8452
24.49481,0.1635,1.5662,0.3625,321.6609,153.1337,194.7533
24.50593,0.1614,1.571,0.3851,318.0894,148.8174,199.8098
24.51856,0.1578,1.5742,0.4178,322.7622,155.6398,190.7823
24.52944,0.1556,1.5751,0.4465,315.5186,151.7364,196.5972
24.54051,0.1548,1.5756,0.4801,304.3651,144.6134,205.4209
24.55046,0.155,1.574,0.5054,293.6371,130.966,219.6739
24.5611,0.1556,1.571,0.5336,285.0307,80.0789,269.3578
24.57251,0.1562,1.569,0.5541,293.3152,29.3281,316.7003
24.5838,0.1593,1.5695,0.5744,314.3164,6.0147,333.0594
24.59451,0.1645,1.5732,0.5947,314.909,150.8817,189.7618
24.60591,0.1715,1.5747,0.6144,300.4373,135.6517,202.2354
24.61882,0.1732,1.5684,0.6398,291.8394,122.0072,217.6475
24.62888,0.1668,1.5553,0.6572,299.9766,148.618,183.5123
24.63966,0.1612,1.5362,0.6743,297.4724,159.9512,175.6947
24.65082,0.159,1.5228,0.6836,295.3039,176.8499,160.3543
24.66119,0.1577,1.5135,0.692,294.5395,203.5605,134.3434
24.67224,0.1552,1.5086,0.6974,295.9398,221.4513,117.3759
24.68396,0.1508,1.5001,0.703,296.727,229.1657,111.6147
24.69429,0.1481,1.4908,0.7073,295.2396,226.4624,115.717
24.70593,0.1501,1.4767,0.7087,274.1157,176.1965,153.5766
24.71743,0.1565,1.4617,0.7079,277.5907,133.3921,193.3474
24.73014,0.1611,1.4528,0.7099,280.5051,120.0816,203.8474
24.73961,0.1655,1.4442,0.7118,297.136,310.4064,15.8768
24.75045,0.1671,1.4396,0.7129,296.5905,311.697,12.8025
24.76158,0.1656,1.4382,0.7119,297.1747,311.9391,11.5996
24.77663,0.162,1.4391,0.7095,325.2444,312.9803,11.6003
24.78594,0.1585,1.4404,0.7083,327.4428,311.7231,14.1252
24.79447,0.157,1.4405,0.7086,328.9386,311.0429,15.8214
24.80536,0.1548,1.4409,0.709,330.7674,310.4264,17.8213
24.8169,0.1528,1.4415,0.7092,331.7255,310.2255,19.0508
24.82807,0.1508,1.4419,0.7094,332.0498,310.1526,19.926
24.83909,0.1494,1.4429,0.7094,331.9537,310.1006,20.3141
24.85002,0.1487,1.4439,0.7095,334.5196,316.1776,33.2599
24.86178,0.1481,1.4458,0.7094,334.1714,315.8935,33.2669
24.87235,0.1478,1.448,0.7091,333.8237,315.4261,33.4313
24.8843,0.1476,1.4501,0.7088,335.9157,315.9862,22.536
24.89514,0.1474,1.4528,0.7082,335.6373,315.3608,23.2858
24.90587,0.1472,1.4551,0.7075,335.4572,314.7981,24.1064
24.91688,0.147,1.4581,0.7063,335.3151,314.1195,25.2523
24.92821,0.1467,1.4606,0.7051,335.2269,313.5855,26.272
24.93898,0.1465,1.4638,0.7034,335.1038,312.9796,27.4492
24.95102,0.1463,1.4664,0.7017,334.949,312.5328,28.3366
24.96216,0.146,1.4695,0.6994,335.213,314.5634,23.1936
24.97214,0.1459,1.4724,0.6969,334.8442,313.9438,24.206
