time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
87.46884,0.2038,1.2797,0.2698,356.6294,33.1266,35.489
87.48208,0.2047,1.2665,0.2747,354.2869,32.8824,33.4749
87.49308,0.207,1.2591,0.2785,352.9244,32.358,32.2784
87.50255,0.2107,1.2504,0.2833,351.0486,31.6109,30.7752
87.51316,0.2136,1.2401,0.2899,348.6661,30.8264,28.7667
87.52382,0.217,1.2304,0.2975,346.0825,29.9239,26.7232
87.53487,0.2204,1.2232,0.3043,343.7074,29.2277,25.1843
87.54623,0.2054,1.2968,0.2234,357.3479,34.4988,35.6681
87.55763,0.21,1.2834,0.2287,353.8737,33.9938,33.8557
87.57139,0.2133,1.2722,0.2346,350.6403,33.9597,32.4043
87.58071,0.2084,1.307,0.1969,356.8886,35.8629,35.8629
87.59093,0.2094,1.2932,0.2034,353.2366,36.4374,34.2659
87.6019,0.2109,1.2763,0.2144,348.3532,37.5589,32.0601
87.6135,0.2201,1.3118,0.1748,356.5879,38.0851,34.5422
87.63801,0.22,1.2916,0.1872,351.4568,39.2545,31.7146
87.64881,0.2223,1.2622,0.2159,342.3066,41.9245,25.8541
87.6572,0.224,1.2446,0.2417,336.9913,43.4588,21.3537
87.66887,0.2277,1.2362,0.2604,332.9137,44.867,18.0335
87.67995,0.2325,1.2295,0.283,328.2274,46.8746,13.8349
87.69066,0.2329,1.3209,0.1206,356.6365,39.2644,33.3629
87.70165,0.2338,1.3004,0.1361,351.8496,39.6897,29.8191
87.71258,0.2336,1.2856,0.1499,348.0783,40.397,26.7934
87.72406,0.2325,1.2709,0.1662,343.9182,41.606,23.1283
87.73536,0.2756,1.2711,0.173,357.3127,42.1464,32.7169
87.74648,0.2727,1.2603,0.1874,353.9528,42.7053,29.1997
87.75857,0.2695,1.2516,0.2012,350.9352,43.3476,25.7681
87.76943,0.2666,1.2457,0.2126,348.6237,43.8527,22.945
87.78,0.2633,1.2401,0.227,345.9862,44.3155,19.609
87.79097,0.261,1.2369,0.2394,343.8167,44.587,16.9007
87.80187,0.2967,1.2532,0.1804,358.1634,44.6248,31.8161
87.81317,0.2965,1.2487,0.1913,356.1842,43.9469,29.7243
87.82415,0.2974,1.2449,0.2033,353.865,43.1457,27.6177
87.83526,0.2984,1.2427,0.2125,352.0149,42.5144,26.0824
87.84641,0.3124,1.2453,0.2201,357.7087,45.6444,29.2188
87.85719,0.313,1.2438,0.2291,356.025,44.921,27.6282
87.86841,0.3127,1.2427,0.2357,354.8476,44.4417,26.3616
87.87965,0.3109,1.2411,0.2432,353.7009,43.9648,24.7785
87.89204,0.3083,1.2395,0.249,352.9783,43.6362,23.4372
87.90231,0.3048,1.2376,0.2549,352.3439,43.2836,21.9695
87.91348,0.3314,1.2479,0.2673,357.5333,45.6555,26.7309
87.92464,0.3279,1.2462,0.2734,357.117,45.0614,25.4742
87.93549,0.3249,1.2452,0.2788,356.7805,44.4619,24.525
87.94608,0.3213,1.2441,0.2857,356.4007,43.5945,23.5093
87.95705,0.3461,1.2629,0.3169,354.7737,45.7428,24.0622
87.96861,0.3421,1.2623,0.3234,354.6357,44.8438,23.3537
87.97987,0.3359,1.2613,0.3318,354.6289,43.6512,22.4581
87.99101,0.3301,1.26,0.3385,354.7999,42.6238,21.7774
88.0023,0.3222,1.2582,0.3467,355.1731,41.2576,21.0281
88.01397,0.3149,1.2568,0.354,355.5403,39.8913,20.5264
88.02461,0.3534,1.2855,0.3792,353.3819,46.6982,20.982
88.03632,0.3452,1.2856,0.3911,353.723,44.5362,21.1839
88.04778,0.3382,1.2863,0.4017,354.0666,42.589,21.5491
88.05805,0.3478,1.3094,0.4333,352.1749,46.6829,18.012
88.06871,0.3371,1.3096,0.4466,353.1076,44.3342,18.7326
88.08046,0.3225,1.3099,0.4632,355.0194,41.8168,19.4647
88.09242,0.3285,1.342,0.5105,350.9605,46.7315,15.0127
88.10544,0.3071,1.3221,0.51,357.1815,45.0835,17.5313
88.11542,0.295,1.2974,0.4887,5.544,44.5276,24.3321
88.12645,0.3131,1.2892,0.4458,12.8065,46.2003,37.0168
88.13645,0.3436,1.304,0.3977,18.4432,49.0582,51.6915
88.15002,0.3802,1.3462,0.3477,24.1815,53.2448,69.9584
88.15989,0.4266,1.4381,0.3109,31.677,59.9776,97.1171
88.16899,0.3123,1.3667,0.7045,352.0594,45.4962,12.9264
88.17981,0.3161,1.3341,0.5082,9.3753,34.7341,30.4476
88.19122,0.3233,1.3465,0.3862,26.1031,31.7328,42.4822
88.20281,0.315,1.3911,0.2684,40.9812,39.4181,53.8373
88.21346,0.302,1.4527,0.5587,353.054,40.5076,12.139
88.2251,0.3697,1.4962,0.5429,342.9071,48.3268,18.5762
88.23676,0.4377,1.5744,0.5143,329.2787,51.2802,29.2882
88.24774,0.4617,1.6227,0.4836,322.6315,52.4422,36.7399
88.25771,0.4596,1.6225,0.4593,322.4464,57.0918,36.5056
88.26875,0.4478,1.5978,0.4541,325.127,61.9473,31.5297
88.27986,0.1964,1.4001,0.4627,355.2448,33.4602,11.7796
88.29114,0.1825,1.3978,0.4759,355.1797,28.8746,8.9244
88.30244,0.2065,1.2125,0.7356,357.0977,27.1164,10.682
88.31367,0.1903,1.2106,0.7404,357.9997,22.6781,7.941
88.32481,0.1976,1.1815,0.5486,340.7873,27.8973,27.8973
88.33592,0.1974,1.1814,0.5487,341.9222,25.3643,26.4632
88.34692,0.1913,1.1696,0.5492,342.4695,23.9516,26.1239
88.35759,0.1978,1.162,0.5499,342.4409,22.9062,26.9213
88.36879,0.2088,1.1642,0.5495,341.7115,22.6836,28.7644
88.38012,0.1973,1.181,0.523,339.897,23.3411,32.2447
88.39201,0.1122,1.2879,0.3489,340.5952,25.4239,26.8213
88.40268,0.1135,1.2878,0.3485,339.5747,25.9994,29.0278
88.41572,0.1181,1.2837,0.3535,338.925,26.4779,30.267
88.42435,0.1309,1.2696,0.3697,338.3997,26.8855,30.7055
88.43593,0.0958,1.3178,0.3443,346.1719,23.5189,40.7108
88.44708,0.1001,1.3143,0.3481,345.86,23.3549,40.5596
88.45986,0.1037,1.3132,0.3493,345.5997,22.9506,40.2854
88.47064,0.1049,1.3139,0.3481,345.2667,22.5797,39.9687
88.48073,0.1053,1.3142,0.3468,344.8738,22.3601,39.7678
88.4921,0.1038,1.3149,0.3444,344.1932,22.2727,39.8208
88.50396,0.108,1.3234,0.3378,353.0064,29.2544,21.95
88.51463,0.11,1.3219,0.3383,352.3691,29.2207,22.0882
88.5256,0.1118,1.3201,0.3389,351.7272,29.231,22.2341
88.53627,0.1262,1.3234,0.3329,353.5724,28.3922,29.6112
88.5477,0.1282,1.3213,0.3334,352.9403,28.3431,29.6473
88.55807,0.1308,1.3191,0.3337,352.357,28.1618,29.46
88.56907,0.1324,1.3175,0.3338,352.0333,27.9734,29.1238
88.58019,0.1345,1.3156,0.3337,351.7349,27.6958,28.5977
88.59109,0.1365,1.314,0.3335,351.4736,27.434,28.1943
88.60323,0.1395,1.3113,0.3335,351.0219,27.1546,27.8727
88.61336,0.1413,1.3187,0.3264,352.8703,25.7393,40.4441
88.62468,0.1445,1.3163,0.3263,352.3597,25.5926,40.5572
88.63564,0.1485,1.3136,0.3261,351.7354,25.4639,40.8753
88.64687,0.1542,1.3142,0.3236,351.5551,27.8298,37.7693
88.65844,0.158,1.3122,0.323,351.0422,27.7263,38.0948
88.66867,0.1608,1.3104,0.3227,350.6404,27.6921,38.279
88.68038,0.1638,1.3079,0.3225,350.1404,27.6969,38.4025
88.69141,0.1664,1.3057,0.3224,349.7033,27.6864,38.5063
88.70291,0.1698,1.3034,0.3221,349.1854,27.6408,38.6636
88.71346,0.1729,1.3014,0.3217,348.7417,27.65,38.8178
88.72466,0.1686,1.3053,0.318,351.3101,29.0044,32.7398
88.73593,0.1697,1.3048,0.3166,351.2427,29.1553,32.6776
88.74706,0.1698,1.305,0.3151,351.3069,29.3178,32.5678
88.75799,0.1774,1.2952,0.3203,352.1235,29.1447,34.0703
88.76965,0.1781,1.2954,0.3188,352.1611,29.2954,34.0709
88.78014,0.1786,1.2955,0.3171,352.0791,29.5295,34.0853
