time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
51.97255,0.1903,1.2065,0.1275,295.4062,309.7869,59.4679
51.9885,0.2026,1.1777,0.1433,293.0337,300.3162,68.034
51.99997,0.1639,1.2781,0.0782,291.7888,290.7784,76.6066
52.00887,0.1793,1.2473,0.0884,290.8805,278.3962,87.9285
52.01998,0.1886,1.2268,0.097,290.7431,269.7207,95.965
52.04281,0.1536,1.2845,0.0669,291.4988,256.0356,109.0124
52.05453,0.1731,1.2223,0.0904,295.8198,234.7582,129.468
52.06378,0.1785,1.1802,0.1159,300.4859,226.0446,138.9904
52.07226,0.185,1.1522,0.1379,304.5358,220.9776,144.4503
52.08297,0.1931,1.1281,0.1622,308.6579,216.9958,148.611
52.09365,0.2053,1.101,0.1985,314.3033,212.6718,152.8923
52.10505,0.1373,1.2937,0.0174,319.549,209.3486,155.8693
52.11583,0.1576,1.2496,0.0387,325.8895,205.9265,158.3544
52.12783,0.1767,1.2183,0.0592,331.058,203.3844,159.711
52.13799,0.1983,1.1883,0.084,336.6382,200.7321,160.7836
52.15011,0.1161,1.2818,0.0117,341.0584,198.7539,161.5924
52.16113,0.1288,1.2487,0.026,346.0878,196.7547,162.9044
52.17191,0.1345,1.2182,0.0425,350.742,195.2819,164.5472
52.18306,0.0738,1.2619,0.0372,354.2188,194.4619,166.1313
52.19424,0.0703,1.2381,0.0464,357.9451,193.8891,168.1547
52.20519,0.0658,1.2208,0.0535,0.7373,193.6608,169.8025
52.21645,0.061,1.2014,0.0627,4.0014,193.5004,171.586
52.22831,0.0572,1.1831,0.0738,7.3021,193.3084,173.2417
52.23882,0.0553,1.1688,0.0844,10.0857,193.0921,174.4685
52.24978,0.0547,1.1528,0.0989,13.5052,192.7657,175.716
52.26149,0.0205,1.2367,0.0294,16.1409,192.4364,176.4664
52.27184,0.0238,1.2203,0.0372,19.1139,192.0246,177.0883
52.28299,0.0262,1.2082,0.0434,21.336,191.7442,177.5477
52.29445,-0.0296,1.2268,0.0671,23.7566,191.4766,178.2271
52.30579,-0.0294,1.2165,0.0728,25.9878,191.3379,179.1074
52.31685,-0.0304,1.2088,0.078,27.7604,191.3515,179.9896
52.32802,-0.0323,1.2006,0.0849,29.8057,191.5198,181.1641
52.33909,-0.0825,1.2171,0.1027,31.4164,191.7835,182.1885
52.35024,-0.0849,1.2121,0.1084,33.1031,192.1222,183.3948
52.36088,-0.0868,1.2089,0.1122,34.2506,192.3953,184.3213
52.3727,-0.0887,1.2056,0.1157,35.3217,192.6734,185.3018
52.38354,-0.0902,1.2035,0.1176,35.9795,192.8257,186.039
52.39472,-0.092,1.2015,0.1193,36.5899,192.963,186.8906
52.40567,-0.1233,1.2178,0.1406,37.0505,193.034,187.8123
52.41785,-0.1251,1.2177,0.1408,37.3465,192.9684,188.5878
52.42868,-0.1265,1.2177,0.1402,37.5183,192.6548,189.2883
52.43924,-0.1592,1.2317,0.1804,37.4677,192.1798,189.66
52.45004,-0.1597,1.2318,0.1772,37.12,191.4452,189.8686
52.46111,-0.1599,1.2321,0.174,36.6078,190.7495,189.9544
52.47247,-0.1605,1.2334,0.1697,35.8687,189.8013,190.1779
52.48461,-0.1619,1.236,0.1654,35.0645,188.7753,190.6286
52.49499,-0.1632,1.239,0.1619,34.3454,187.7858,191.056
52.50642,-0.1641,1.2432,0.1581,33.3919,186.4298,191.4682
52.51719,-0.1924,1.2543,0.2484,32.5479,185.2473,191.726
52.52855,-0.1947,1.2591,0.247,31.3207,183.8804,191.8884
52.53919,-0.1963,1.2646,0.2465,29.9564,182.7734,191.9438
52.55137,-0.2153,1.2803,0.2952,27.9229,181.8566,192.4043
52.56158,-0.2244,1.2974,0.2981,24.586,181.2969,193.8333
52.57325,-0.2354,1.3203,0.2953,19.8863,180.907,195.8766
52.58441,-0.2456,1.3513,0.2866,11.5798,180.0916,197.6502
52.59517,-0.2358,1.3039,0.3949,2.5872,179.1825,196.6501
52.606,-0.224,1.304,0.3705,351.7216,178.6065,193.7928
52.61753,-0.1997,1.3168,0.3281,336.3001,178.5309,188.9113
52.62796,-0.1647,1.3582,0.2734,318.3771,178.8975,182.4526
52.64005,-0.1305,1.4285,0.2292,301.5598,178.9284,176.625
52.65072,-0.0789,1.556,0.2019,279.0342,190.1255,157.4806
52.66207,-0.2257,1.3323,0.5333,281.5481,329.2795,12.7183
52.67275,-0.1883,1.3372,0.472,301.8458,335.4351,5.1097
52.68447,-0.1891,1.3366,0.479,314.1816,340.8264,7.141
52.69499,-0.1856,1.2971,0.5198,317.707,342.0706,15.6561
52.70667,-0.2092,1.2846,0.5418,320.7583,339.3179,29.574
52.71759,-0.1815,1.2424,0.5603,323.8089,337.0215,38.1229
52.72869,-0.1695,1.2217,0.5685,325.7211,336.8796,41.3871
52.73926,-0.1095,1.1995,0.4369,325.026,338.3297,39.8388
52.75011,-0.1242,1.1974,0.4409,322.4324,339.3018,35.9603
52.76157,-0.1286,1.1961,0.4389,319.32,338.6126,31.604
52.77285,-0.1275,1.1958,0.4324,317.2059,337.7871,28.0146
52.78358,-0.1242,1.1937,0.4253,315.5466,337.1005,25.0923
52.79501,-0.1182,1.1862,0.4238,314.8467,336.0994,25.089
52.80556,-0.1076,1.1708,0.428,314.7046,334.2917,27.9988
52.81786,0.0618,1.0891,0.2928,314.8752,333.0492,31.0327
52.82819,0.067,1.0821,0.2952,315.2813,332.3197,33.7839
52.83933,0.0703,1.0795,0.2952,315.6409,331.9801,35.115
52.85096,0.1856,1.1447,0.1789,316.0713,331.6242,35.4986
52.86186,0.1927,1.1493,0.1764,316.494,331.3623,34.8725
52.87256,0.1997,1.154,0.1745,316.7978,331.1624,34.01
52.88401,0.2068,1.1593,0.1724,317.0318,330.9951,33.0156
52.89493,0.2089,1.1609,0.1714,316.9574,331.0874,32.4651
52.90614,0.2049,1.1592,0.1704,316.499,331.4012,32.5534
52.91756,0.2257,1.2265,0.13,315.8966,331.5613,33.3396
52.92854,0.2207,1.2183,0.1307,315.0932,331.3063,34.8096
52.9396,0.2184,1.2101,0.1323,314.2597,330.7974,36.2159
52.95096,0.2182,1.2033,0.1341,313.5482,330.4471,36.934
52.96175,0.1973,1.2469,0.1415,312.8212,330.2927,37.0105
52.97264,0.1987,1.2445,0.1411,312.3055,330.2774,36.6812
52.98508,0.2022,1.2417,0.1409,311.7574,330.1176,36.321
52.995,0.2062,1.2398,0.1408,311.3912,329.8077,36.1957
53.00625,0.2112,1.2376,0.1408,311.0281,329.3412,36.2716
53.01748,0.2142,1.2357,0.1405,310.7476,329.0146,36.4554
53.02826,0.2019,1.2552,0.1453,310.4409,328.6536,36.8866
53.03935,0.2028,1.2526,0.1443,310.1733,328.3736,37.4843
53.05091,0.2029,1.2509,0.1431,310.022,328.1951,38.0202
53.06219,0.2043,1.2492,0.1417,309.9394,327.8463,38.7847
53.07291,0.2152,1.2556,0.1303,309.9352,327.4249,39.4865
53.08438,0.219,1.2548,0.1292,309.9457,326.9252,40.1816
