time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
99.13195,0.3203,1.2654,0.2526,351.7699,45.7799,27.5627
99.14576,0.3283,1.2481,0.2664,348.5161,45.2249,25.2484
99.15701,0.3337,1.2431,0.2709,347.0009,44.8135,24.5407
99.16657,0.34,1.2329,0.2816,344.2918,44.2581,22.648
99.17937,0.3204,1.2954,0.218,355.0075,46.3729,31.9744
99.18906,0.3258,1.2785,0.229,351.3497,45.7898,29.5074
99.19912,0.329,1.2644,0.2403,347.9883,45.6881,27.2671
99.21004,0.3308,1.2506,0.2535,344.5192,45.9013,24.8156
99.22408,0.3029,1.3015,0.1997,355.0075,46.3729,31.9744
99.24696,0.3091,1.2851,0.2113,350.8695,45.5569,29.4915
99.25871,0.3233,1.2604,0.239,342.012,43.9243,24.507
99.2682,0.3319,1.2495,0.2555,337.6822,42.8183,21.9377
99.2768,0.3363,1.2441,0.2679,334.4627,42.4334,20.0708
99.28706,0.3417,1.2392,0.2852,330.0115,42.3009,17.5454
99.29848,0.2689,1.3392,0.1401,355.0019,47.9938,31.0515
99.30975,0.2736,1.3218,0.1503,350.0892,47.6613,28.2435
99.32142,0.2766,1.3089,0.1603,345.8559,47.9407,25.8305
99.33186,0.2527,1.3459,0.1165,353.7299,48.7586,30.4339
99.34309,0.2527,1.3296,0.125,348.7947,49.8764,27.6561
99.35426,0.2516,1.3174,0.1328,344.9194,51.3143,25.1301
99.36568,0.2493,1.3041,0.1433,340.6577,53.3984,21.7164
99.37711,0.2481,1.2946,0.153,337.3734,55.182,18.6605
99.38809,0.2478,1.2855,0.1649,333.7635,57.2207,14.9263
99.39873,0.2546,1.3125,0.1149,354.6316,51.3105,27.0368
99.41044,0.2548,1.3042,0.1225,351.7907,51.4932,24.6661
99.4213,0.2543,1.2958,0.1312,348.7841,51.7021,21.8633
99.43224,0.2535,1.2899,0.1382,346.5395,51.8598,19.5924
99.44337,0.2564,1.2876,0.1387,355.4151,52.5395,27.3528
99.45651,0.2569,1.2836,0.1447,353.4319,52.2064,25.5465
99.46584,0.2583,1.2799,0.1519,351.0569,51.8138,23.568
99.47667,0.2506,1.269,0.1961,355.4151,52.5395,27.3529
99.48803,0.2532,1.2687,0.2015,353.2527,52.1234,25.9207
99.49836,0.2548,1.2687,0.206,351.5741,51.8311,24.7484
99.51019,0.2561,1.269,0.2119,349.6518,51.5878,23.2779
99.52116,0.2566,1.2695,0.2175,347.903,51.4853,21.7808
99.53228,0.2565,1.27,0.2219,346.5812,51.4873,20.5476
99.54303,0.2561,1.2707,0.2267,345.138,51.5862,19.1173
99.55421,0.2411,1.2667,0.2239,354.8952,52.4828,25.8645
99.5659,0.2415,1.2673,0.2267,353.6722,52.5457,24.8066
99.5768,0.2425,1.2679,0.2283,352.6702,52.6677,24.1021
99.58814,0.237,1.2813,0.2795,352.3455,52.0685,23.3976
99.59872,0.2385,1.2831,0.2805,351.3735,52.2157,22.8851
99.60966,0.2404,1.2853,0.2817,350.2607,52.448,22.2613
99.62225,0.2405,1.2876,0.2838,349.3277,52.6812,21.3843
99.63211,0.2392,1.2894,0.2864,348.6848,52.8617,20.4389
99.6435,0.237,1.2913,0.2894,348.0741,53.0697,19.299
99.65489,0.2347,1.2927,0.292,347.6312,53.2287,18.3299
99.6655,0.2295,1.3004,0.3067,349.144,52.6069,21.7625
99.67682,0.2285,1.3025,0.3091,348.5756,52.8577,20.864
99.68868,0.2283,1.3042,0.3106,348.1205,53.0776,20.2736
