time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
94.3102,0.0948,1.2719,0.0027,322.0842,321.3615,52.0996
94.32395,0.0873,1.2876,0.0021,320.3976,319.9088,53.824
94.33543,0.0946,1.2784,0.0029,319.7289,318.7829,54.8534
94.34517,0.1021,1.2712,0.0019,319.0396,317.7237,55.747
94.35471,0.1069,1.2679,0.0007,318.5104,317.1617,56.0013
94.36543,0.1129,1.2621,-0.0008,317.5952,316.3463,56.4256
94.37659,0.1164,1.2562,-0.0017,316.6692,315.7089,56.8299
94.38821,0.1193,1.2483,-0.0026,315.419,314.9611,57.3665
94.39921,0.0873,1.3039,-0.0184,314.2575,314.2265,57.9966
94.42361,0.0909,1.2929,-0.0199,312.8026,313.0218,59.1192
94.43469,0.0903,1.3097,-0.0326,309.9756,309.8399,62.1794
94.44556,0.0973,1.2948,-0.033,308.526,307.542,64.3355
94.45446,0.1025,1.2829,-0.034,307.0517,305.5252,66.1038
94.46531,0.1094,1.2673,-0.0344,305.0982,302.6038,68.5647
94.47692,0.1161,1.2526,-0.0336,303.4104,299.4977,71.2217
94.48768,0.1241,1.2339,-0.031,301.4897,295.0619,75.1506
94.50067,0.1309,1.2169,-0.0274,299.9557,290.5234,79.2656
94.51024,0.0915,1.3304,-0.0901,298.2963,283.8759,85.4203
94.52083,0.1029,1.3018,-0.0889,297.0551,275.7224,93.1199
94.53265,0.113,1.2758,-0.085,296.5863,267.8315,100.6726
94.54508,0.0848,1.3223,-0.1056,296.9744,257.8201,110.3651
94.55575,0.0966,1.2918,-0.1007,298.17,249.4636,118.5327
94.56544,0.1103,1.2559,-0.0905,300.4636,240.654,127.2288
94.57641,0.1214,1.225,-0.0777,303.0669,234.0401,133.86
94.58762,0.083,1.3165,-0.124,306.8842,227.1375,140.9698
94.59875,0.0925,1.2796,-0.1121,310.6273,222.306,146.1182
94.61049,0.1018,1.2436,-0.0953,314.6871,218.3495,150.4658
94.62115,0.1154,1.1961,-0.065,320.9298,213.9645,155.4459
94.63228,0.125,1.1659,-0.0393,325.6098,211.5374,158.33
94.64362,0.1367,1.1338,-0.0043,331.4161,209.1743,161.2529
94.65432,0.0731,1.2906,-0.15,336.2827,207.597,163.2485
94.6655,0.0859,1.2476,-0.1292,342.2184,206.0388,165.2481
94.67711,0.0965,1.2151,-0.1088,347.155,205.0125,166.6688
94.68793,0.1086,1.1802,-0.0804,353.0368,204.0131,168.2766
94.69891,0.0457,1.2525,-0.1241,358.6598,203.2507,169.9706
94.71114,0.0508,1.2242,-0.1047,3.2158,202.8106,171.4957
94.72084,0.0543,1.1995,-0.0848,7.4719,202.5766,173.0428
94.73203,0.0564,1.1753,-0.0628,11.9311,202.5492,174.8141
94.74411,0.057,1.1559,-0.0437,15.719,202.8348,176.4108
94.75429,0.0567,1.1424,-0.0301,18.4189,203.2581,177.6279
94.7662,0.0187,1.2195,-0.0988,21.2052,203.8439,179.0704
94.77699,0.0177,1.2059,-0.0917,23.2616,204.319,180.2147
94.78788,0.0174,1.1914,-0.0845,25.3995,204.733,181.4019
94.79869,0.0183,1.1779,-0.078,27.3326,204.8925,182.4464
94.81049,-0.0206,1.1928,-0.015,28.9097,204.7813,183.2436
94.82101,-0.018,1.1821,-0.008,30.9665,204.4134,184.0982
94.83291,-0.0153,1.1737,-0.0011,32.7224,204.0773,184.7491
94.84393,-0.0327,1.183,0.0465,34.5608,203.6879,185.484
94.85533,-0.032,1.1775,0.0519,35.878,203.4157,186.1361
94.86617,-0.0323,1.1719,0.0574,37.0844,203.2408,186.9705
94.87734,-0.0336,1.1678,0.0617,37.9031,203.1307,187.7654
94.88895,-0.0361,1.1638,0.0676,38.8492,203.0307,188.9119
94.8996,-0.0396,1.1609,0.0743,39.7655,202.9217,190.2445
94.91039,-0.0427,1.159,0.0793,40.4218,202.6575,191.3059
94.92112,-0.048,1.1719,0.116,40.9834,202.16,192.4471
94.93218,-0.0517,1.171,0.119,41.2721,201.5741,193.3177
94.94395,-0.0564,1.1704,0.1214,41.3691,200.6722,194.25
94.95472,-0.0629,1.1949,0.1827,41.1596,199.4772,195.0404
94.96612,-0.0684,1.1947,0.1818,40.7504,198.2109,195.5749
94.97738,-0.0749,1.1945,0.1793,40.0038,196.3379,196.0632
94.98882,-0.0799,1.195,0.1773,39.2959,194.6391,196.4049
94.99923,-0.0863,1.1974,0.1755,38.3944,192.4513,196.9557
95.01006,-0.0925,1.2012,0.173,37.3761,190.4325,197.5808
95.02203,-0.0864,1.2249,0.2654,35.3965,187.7788,198.2811
95.03313,-0.0967,1.2279,0.2588,32.9102,185.5316,198.973
95.04389,-0.1115,1.2363,0.2492,28.9852,183.4015,200.6776
95.05569,-0.1288,1.2512,0.2374,23.9014,181.5418,203.2211
95.06651,-0.107,1.2656,0.3532,18.5009,180.0336,205.1911
95.07766,-0.1197,1.2672,0.3366,10.0927,178.0457,206.4906
95.08833,-0.1224,1.2674,0.3166,0.6625,176.5244,206.5648
95.09965,-0.1151,1.2722,0.2815,346.6767,175.2704,205.4634
95.11099,-0.1018,1.2942,0.2405,332.1019,174.4101,204.0601
95.12184,-0.0787,1.3514,0.1883,312.3703,172.6429,202.2166
95.13297,-0.1349,1.2916,0.5178,294.0527,167.1405,202.8951
95.14465,-0.1127,1.2868,0.4027,273.513,75.2842,285.5415
95.15588,-0.0472,1.3899,0.2256,294.2111,355.0121,353.8654
95.1661,0.027,1.5017,0.1418,312.7905,345.055,354.1877
95.17791,-0.0977,1.3446,0.5531,325.0521,339.4467,355.2311
95.18948,-0.0817,1.3349,0.5628,327.0596,340.5399,0.4302
95.19962,-0.0566,1.2463,0.6245,331.0804,343.4384,13.1291
95.21095,0.0037,1.2374,0.618,337.3063,345.0601,26.7957
95.22186,0.08,1.1814,0.6413,342.502,343.67,40.9504
95.23331,0.1118,1.1513,0.674,341.759,342.523,47.0867
95.24391,-0.138,1.1576,0.3734,338.0254,342.6471,45.1466
95.25597,-0.1681,1.1424,0.3738,333.4489,343.2182,37.499
95.26633,-0.1832,1.1683,0.3525,331.6904,343.4645,28.5297
95.2774,-0.1811,1.2101,0.3202,332.0382,342.3245,19.1122
95.28888,-0.0368,1.1102,0.1603,332.6185,341.061,14.3023
95.29926,-0.0329,1.118,0.1603,333.4812,340.0567,12.9805
95.31106,-0.0338,1.1154,0.1652,334.6262,339.6481,15.1332
95.32149,-0.0001,1.1715,0.0435,336.23,339.6014,20.0203
95.33318,-0.0091,1.1641,0.0464,337.7175,339.6118,24.5808
95.34441,-0.0152,1.1584,0.0478,338.3139,339.7536,26.6341
95.35508,-0.0134,1.1552,0.0471,338.2314,339.4956,26.2755
95.36654,-0.0096,1.1583,0.0446,337.987,339.3101,24.3225
95.3774,-0.0002,1.1596,0.0414,337.3997,338.8541,21.8171
95.38882,0.0124,1.1557,0.0397,336.6522,338.1058,20.2682
95.39966,0.0153,1.1806,0.0313,335.9094,337.401,19.5716
95.41154,0.0244,1.1714,0.0319,335.0923,336.705,19.3915
95.42184,0.031,1.1639,0.0322,334.4361,336.2233,19.3127
95.43301,0.0333,1.2217,0.0141,333.8394,336.0246,19.2835
95.44457,0.0318,1.2176,0.0137,333.4961,336.1818,19.3056
95.45612,0.0261,1.2135,0.0135,333.1133,336.6554,19.3136
95.46648,0.0203,1.2097,0.0135,332.7188,337.1339,19.2369
95.47752,0.0142,1.2051,0.0136,332.1942,337.6651,19.0179
95.48887,0.0097,1.2025,0.0136,331.843,338.0664,18.7714
95.49938,0.0063,1.2005,0.0132,331.5123,338.404,18.4455
95.51086,0.0342,1.2599,0.0159,331.3195,338.5522,18.2456
95.52201,0.0335,1.2592,0.0154,331.2473,338.5717,18.2489
95.53339,0.0343,1.2572,0.0147,331.0956,338.4603,18.3314
95.54451,0.0514,1.2799,0.0052,331.0357,338.3889,18.507
95.55567,0.0518,1.2781,0.0042,330.9709,338.2704,18.7494
95.56687,0.0528,1.2767,0.0035,330.9544,338.0972,19.0225
95.57745,0.0546,1.276,0.0027,331.0211,337.8498,19.3414
95.58907,0.0565,1.2762,0.0017,331.1349,337.6924,19.4938
95.59975,0.057,1.277,0.0008,331.2646,337.7024,19.5185
95.61124,0.0519,1.2714,0,331.3698,337.8206,19.4674
95.62193,0.0515,1.2716,-0.0009,331.4091,337.9586,19.3712
95.63322,0.0509,1.2714,-0.002,331.4165,338.1282,19.2516
95.64443,0.051,1.2709,-0.0029,331.4077,338.2072,19.2209
95.65578,0.0491,1.27,-0.0009,331.3904,338.2022,19.2556
95.66642,0.0506,1.2695,-0.0018,331.4285,338.1405,19.3332
95.6776,0.052,1.2695,-0.0029,331.5282,338.1098,19.4484
95.68906,0.0626,1.2774,-0.0028,331.6461,338.1996,19.5514
95.69948,0.0617,1.2776,-0.0039,331.7347,338.3604,19.6295
95.71121,0.0598,1.2776,-0.0052,331.8085,338.6213,19.7078
95.72213,0.0583,1.2771,-0.0062,331.8201,338.8279,19.7789
95.73324,0.0566,1.2756,-0.0073,331.7562,339.0503,19.8932
