time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
84.44703,0.1169,1.4109,2.5663,328.7298,327.351,32.6001
84.45797,0.1183,1.4129,2.5617,326.8818,326.2143,34.1682
84.48423,0.1201,1.4148,2.5584,332.5958,327.9557,30.1504
84.49594,0.124,1.4219,2.5481,328.9545,325.3854,33.1852
84.50434,0.1255,1.424,2.5433,331.4095,327.1322,30.9739
84.51333,0.1269,1.427,2.5384,329.7588,326.2524,32.2895
84.52299,0.1281,1.43,2.5333,328.1493,325.4276,33.542
84.53473,0.1294,1.4335,2.528,326.6076,324.586,34.7628
84.54572,0.1308,1.4378,2.5214,324.8863,323.6189,36.1887
84.55608,0.1321,1.4416,2.5156,323.416,322.72,37.4838
84.56689,0.1336,1.4462,2.5086,321.5326,321.4449,39.2795
84.5782,0.1349,1.4501,2.5026,329.783,325.1375,32.0682
84.58871,0.1362,1.4541,2.4965,327.9518,324.1477,33.5522
84.60062,0.1378,1.4588,2.4891,325.6729,322.7851,35.4403
84.61343,0.1395,1.4635,2.4815,327.6374,323.7596,33.4685
84.62193,0.1408,1.4674,2.475,325.5558,322.6042,35.1184
84.63264,0.1423,1.4722,2.4665,323.0472,321.2131,37.2155
84.64401,0.1436,1.4761,2.4594,320.9703,319.9975,39.094
84.65482,0.1451,1.4807,2.4505,322.9797,321.8558,36.3255
84.66629,0.1464,1.4845,2.4429,320.8308,320.6772,38.4126
84.67731,0.148,1.4889,2.4339,318.2111,318.9532,41.1948
84.68858,0.1493,1.4924,2.4261,315.9848,317.1987,43.8015
84.699,0.1508,1.4964,2.417,313.3,314.7167,47.263
84.7102,0.152,1.4994,2.4095,311.0228,312.238,50.5446
84.72144,0.1534,1.5029,2.4005,311.6414,314.505,42.8911
84.73247,0.1547,1.5057,2.3927,309.4651,311.7384,46.5872
84.74416,0.1564,1.5089,2.3832,307.146,308.099,51.5587
84.75504,0.1579,1.5114,2.375,305.3694,304.7853,56.175
84.7664,0.1595,1.514,2.3651,305.6523,307.6049,50.6975
84.77717,0.1609,1.5162,2.3552,303.5305,303.3741,56.3606
84.78834,0.162,1.5177,2.3469,301.9527,299.2753,61.508
84.79953,0.1631,1.5191,2.3371,300.3886,293.8231,68.0875
84.80991,0.1641,1.5201,2.3292,299.4189,288.8723,73.9428
84.82124,0.1654,1.521,2.3196,298.6389,282.5996,81.3621
84.83244,0.1664,1.5214,2.3115,298.9402,298.3216,60.842
84.84362,0.1676,1.5214,2.3021,297.5408,292.6276,67.5907
84.85461,0.1684,1.5211,2.2945,296.5661,287.4279,73.6455
84.86626,0.1695,1.5205,2.2856,295.6759,280.6918,81.403
84.87752,0.1703,1.5195,2.2774,293.4432,282.925,78.7356
84.88846,0.1709,1.5184,2.2707,292.7048,276.0565,86.1657
84.89909,0.1712,1.5169,2.2637,292.1791,267.8847,94.7215
84.91002,0.1713,1.5153,2.2583,289.9864,260.7034,104.24
84.92192,0.1713,1.5131,2.252,290.2827,252.6492,112.203
84.93256,0.1712,1.5112,2.2473,290.7692,246.9377,117.6945
84.94431,0.171,1.5089,2.2422,291.5213,240.9573,123.3132
84.95522,0.1707,1.5064,2.2376,292.3111,236.0446,127.7396
84.96567,0.1704,1.5042,2.2343,293.0063,232.5751,130.7242
84.97726,0.1699,1.5018,2.231,293.877,228.7997,133.8799
84.98832,0.1695,1.4999,2.2289,290.3405,237.245,130.9848
84.99921,0.1688,1.4978,2.2272,290.9653,232.9933,134.5617
85.01049,0.1681,1.4963,2.2263,291.4669,229.8723,137.1096
85.02148,0.1672,1.4947,2.2261,294.8575,216.5773,153.3622
85.03262,0.1664,1.4935,2.2266,295.3524,214.7869,154.4785
85.04419,0.1652,1.4926,2.2283,295.8764,212.6712,155.7087
85.05488,0.1638,1.4923,2.2313,296.3625,210.3452,157.1361
85.06624,0.1626,1.4927,2.2347,296.6849,208.3478,158.443
85.07726,0.161,1.494,2.2402,296.8908,205.8498,160.0964
85.08854,0.1595,1.4958,2.2462,299.5474,205.3174,166.4374
85.09904,0.1575,1.4987,2.2548,299.0475,203.6803,166.9407
85.111,0.1556,1.5019,2.2637,298.1631,202.6228,166.8798
85.12144,0.153,1.5066,2.2765,296.4341,201.4832,166.528
85.13278,0.1498,1.5123,2.2919,303.0895,199.461,170.6982
85.14405,0.1468,1.5179,2.3069,300.4124,198.8508,169.7043
85.1547,0.1424,1.5249,2.3279,296.1768,199.0371,167.1693
85.16663,0.1381,1.5306,2.3476,305.8112,194.7756,173.6972
85.17719,0.1327,1.5373,2.3735,299.3807,196.1264,169.6158
85.18936,0.1288,1.5423,2.3971,292.9741,201.5645,161.9742
85.19924,0.1249,1.5453,2.4254,285.4876,220.6659,140.5146
85.21195,0.1217,1.5461,2.4543,282.7695,269.6589,89.1533
85.22219,0.1207,1.5466,2.4756,289.1143,304.5293,51.9253
85.23347,0.1188,1.5469,2.4956,299.2943,320.5023,32.6391
85.24419,0.1178,1.5473,2.5179,305.1041,190.6939,174.4337
85.25486,0.1185,1.548,2.5353,291.8764,195.7154,163.7427
85.26668,0.1217,1.5478,2.5561,278.6876,226.9299,126.2244
85.27999,0.1242,1.543,2.5771,297.6654,191.5579,167.6057
85.28914,0.123,1.5339,2.5937,288.088,199.9193,161.06
85.29981,0.1197,1.5261,2.6027,282.4251,218.0697,146.7015
85.31203,0.1167,1.5178,2.6105,281.4868,248.0152,120.9061
85.32214,0.1149,1.5069,2.6193,287.32,268.4352,105.1303
85.33192,0.1161,1.4975,2.625,293.349,269.7632,106.076
85.34418,0.1176,1.4844,2.6308,299.1585,270.064,108.4188
85.35532,0.1183,1.473,2.6346,283.323,227.9388,123.076
85.36556,0.1181,1.4595,2.6379,282.6373,221.7153,130.6024
85.37742,0.1178,1.4476,2.6404,280.6068,207.4045,145.1663
85.38837,0.1187,1.4395,2.6423,292.5117,311.0872,38.1496
85.39915,0.1212,1.4311,2.6444,290.8979,315.1685,30.9711
85.41071,0.1221,1.4265,2.6444,290.2773,316.8322,26.8017
85.42179,0.1219,1.4228,2.6433,290.3755,316.7639,24.5834
85.43252,0.1231,1.4179,2.6443,291.0713,315.4881,24.576
85.44409,0.1238,1.4131,2.6449,292.4422,313.7483,25.5421
85.45528,0.1235,1.4091,2.6451,317.6624,328.1201,11.3496
85.46621,0.1225,1.4062,2.645,318.6422,327.6365,12.4492
85.47749,0.1212,1.4031,2.6446,319.6275,327.2898,13.6446
85.48833,0.1201,1.4009,2.6442,320.2817,327.06,14.4595
85.49943,0.119,1.3987,2.6436,331.9383,337.3195,22.6806
85.51063,0.1184,1.397,2.643,332.0947,337.1919,22.9379
85.52184,0.1179,1.3952,2.6423,332.1387,336.9366,23.069
85.53311,0.1178,1.394,2.6414,336.6572,339.5179,23.3948
85.54452,0.118,1.3934,2.6407,336.6471,339.0318,23.5698
85.55531,0.1183,1.3931,2.6396,336.6074,338.3919,23.9129
