time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
99.13195,0.2897,1.4961,0.514,318.7542,353.3413,29.952
99.14576,0.2906,1.4957,0.5109,314.9794,351.2275,31.6511
99.15701,0.2911,1.4969,0.5082,313.5363,349.8123,32.8431
99.16657,0.2906,1.499,0.5035,310.4991,347.438,34.6589
99.17937,0.2897,1.5006,0.4999,324.1002,353.7829,30.0883
99.18906,0.2874,1.5037,0.4942,319.95,351.7594,31.9513
99.19912,0.2848,1.5066,0.4891,316.2135,349.9245,33.9428
99.21004,0.2814,1.5093,0.4839,312.3228,347.909,36.2397
99.22408,0.2772,1.5133,0.4771,322.7566,354.7127,29.8552
99.24696,0.2733,1.518,0.4701,318.2834,352.1192,32.1684
99.25871,0.2636,1.5311,0.4527,309.3384,344.3989,38.9547
99.2682,0.2593,1.5357,0.4435,305.1603,338.8933,43.3651
99.2768,0.2555,1.54,0.4365,302.2898,334.3846,47.4107
99.28706,0.2502,1.546,0.4266,298.7597,327.1004,54.3408
99.29848,0.2454,1.5517,0.4172,322.6178,355.1428,28.5413
99.30975,0.2399,1.5584,0.4061,317.4767,352.4857,31.59
99.32142,0.2352,1.5642,0.3962,313.1719,350.0565,34.724
99.33186,0.2298,1.5707,0.3838,320.0306,355.1003,30.1514
99.34309,0.2249,1.5773,0.3707,314.949,353.5325,33.4969
99.35426,0.2209,1.5823,0.3594,310.7974,352.2837,36.3764
99.36568,0.216,1.5878,0.3456,305.8732,350.6543,39.8182
99.37711,0.212,1.5918,0.3343,301.8854,348.7479,42.9416
99.38809,0.2073,1.5961,0.3209,297.4188,345.4464,47.304
99.39873,0.2027,1.5998,0.3078,304.8024,344.9587,35.651
99.41044,0.1988,1.6025,0.2968,301.549,342.1957,38.834
99.4213,0.1942,1.605,0.2839,297.9644,338.5042,42.7794
99.43224,0.1904,1.6064,0.2735,295.2402,334.9901,46.3418
99.44337,0.1863,1.6077,0.2615,293.8235,330.2586,46.3527
99.45651,0.1831,1.6084,0.252,291.8426,325.4685,50.9971
99.46584,0.1795,1.609,0.2412,289.8784,318.5735,57.668
99.47667,0.1769,1.6092,0.2326,283.5855,296.3478,81.6398
99.48803,0.1742,1.609,0.2226,283.5062,285.0285,92.7075
99.49836,0.1721,1.6087,0.215,283.7437,276.2073,101.3232
99.51019,0.1698,1.6082,0.2063,284.3036,266.3322,111.0022
99.52116,0.1677,1.6075,0.1982,285.0675,257.7165,119.5004
99.53228,0.1661,1.6068,0.1918,285.811,251.557,125.6096
99.54303,0.1642,1.6058,0.1845,286.7898,245.3301,131.8355
99.55421,0.1628,1.6049,0.1788,284.961,240.0685,141.2711
99.5659,0.1613,1.6036,0.1723,286.0795,235.8341,145.6212
99.5768,0.1601,1.6025,0.1671,287.0566,233.4039,148.1964
99.58814,0.1587,1.6012,0.1612,293.9135,213.4763,169.1436
99.59872,0.1576,1.6003,0.1567,294.9971,213.1841,169.5466
99.60966,0.1564,1.5992,0.1516,296.2509,212.8719,170.0399
99.62225,0.1552,1.5982,0.147,297.4241,211.9828,171.1234
99.63211,0.1541,1.5974,0.1436,298.3611,210.7931,172.4697
99.6435,0.1529,1.5963,0.1398,299.3583,209.3365,174.1082
99.65489,0.1519,1.5954,0.1369,300.1534,208.103,175.4772
99.6655,0.1509,1.5943,0.1339,302.8641,204.4701,178.4809
99.67682,0.15,1.5934,0.131,303.7852,203.784,179.3944
99.68868,0.1494,1.5928,0.1289,304.4653,203.4699,179.8955
99.69894,0.1488,1.5919,0.1266,309.1813,201.7248,182.405
99.71026,0.1484,1.5912,0.1251,309.5863,201.6675,182.5978
99.72214,0.1479,1.59,0.1236,309.8595,201.6042,182.7485
99.73248,0.1476,1.589,0.1227,310.0291,201.3848,182.9432
99.74374,0.1472,1.5878,0.1222,310.2834,200.8336,183.3232
99.75562,0.1468,1.5867,0.1221,310.5791,200.0911,183.8111
99.76601,0.1466,1.5858,0.1225,315.1986,199.2973,184.5252
99.7772,0.1464,1.5847,0.1233,315.3641,198.5097,185.0762
99.78851,0.1464,1.5837,0.1243,315.4144,197.8603,185.4908
99.79922,0.1463,1.5826,0.1261,315.3431,197.1841,185.8064
99.81058,0.1463,1.5816,0.1279,318.6311,199.8431,186.0797
99.82169,0.1463,1.5805,0.1306,318.2944,199.2923,186.0116
99.83304,0.1463,1.5796,0.1334,317.9931,198.687,185.9781
99.84442,0.146,1.5787,0.1374,317.6606,197.5946,186.1545
99.85564,0.1457,1.5779,0.1422,317.3047,196.1702,186.6043
99.86632,0.1453,1.5773,0.1467,316.9155,194.8994,187.0165
99.87772,0.1448,1.5766,0.1531,320.5954,199.3111,187.8899
99.88882,0.1443,1.5763,0.1592,320.0409,198.2598,187.7812
99.89912,0.1433,1.5764,0.1673,319.2442,196.9304,187.3983
99.91058,0.1421,1.5768,0.1755,318.392,195.5829,187.0072
99.92172,0.14,1.5779,0.1864,321.8994,198.6469,189.4256
99.93259,0.1376,1.5792,0.1971,320.504,196.7542,188.8515
99.94392,0.1341,1.5816,0.2124,318.2538,194.4139,188.137
99.95531,0.1306,1.5853,0.2304,315.3165,192.2348,187.6795
99.96628,0.1285,1.5904,0.2489,312.4159,190.5749,188.1233
99.97721,0.1259,1.5983,0.2754,307.6214,187.0201,191.4458
99.98832,0.123,1.604,0.3009,321.9312,197.2919,189.9091
99.99973,0.1196,1.6081,0.3328,311.3538,197.3734,190.2391
100.011,0.1174,1.6109,0.361,300.8914,201.6724,185.1139
100.0221,0.1161,1.6129,0.3938,287.8142,222.7771,161.4501
100.033,0.1163,1.6139,0.4245,319.9901,194.9572,189.2323
100.0443,0.1185,1.6157,0.4504,303.4273,199.2333,176.2859
100.0552,0.1201,1.6153,0.4842,283.9663,226.9066,137.5279
100.0666,0.1335,1.6418,0.4267,285.2438,306.073,47.6594
100.078,0.1492,1.6787,0.4095,303.0045,326.8933,16.9828
100.0887,0.1518,1.7031,0.4027,313.9654,330.7576,12.4723
100.0992,0.1411,1.7239,0.3934,316.6758,191.7978,187.707
100.1112,0.1245,1.7466,0.3863,319.1266,213.7464,167.2473
