time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
60.88129,0.5266,1.2268,0.3046,351.0356,50.8208,21.1446
60.89633,0.5366,1.2327,0.3174,347.2156,50.1281,20.2299
60.90759,0.5458,1.2402,0.326,344.0994,49.4213,19.8786
60.91693,0.4802,1.2114,0.2494,2.2152,52.5589,24.2142
60.92638,0.4863,1.2136,0.2547,359.8281,52.4426,23.6814
60.93527,0.4906,1.2157,0.2596,357.3553,52.6519,22.9166
60.94621,0.4946,1.2187,0.2644,354.7777,53.044,22.0807
60.95719,0.452,1.2012,0.2453,2.8968,54.2945,24.8643
60.96879,0.4576,1.2039,0.2513,0.1033,54.6719,24.0014
60.98027,0.4661,1.2088,0.2592,356.5742,54.8689,23.065
60.99319,0.4769,1.2162,0.2685,352.7924,54.6155,22.3353
61.00287,0.4866,1.2239,0.276,349.6284,54.2101,21.907
61.02835,0.4241,1.1967,0.2369,3.6491,55.519,25.2999
61.03926,0.4404,1.2072,0.2501,357.9415,54.5036,24.2497
61.04811,0.4352,1.2059,0.2505,356.9228,54.5811,23.1787
61.05784,0.4357,1.2077,0.2532,355.5048,54.4257,22.5535
61.06887,0.379,1.1861,0.2319,3.8648,57.1215,24.4678
61.08058,0.3827,1.188,0.2359,2.1055,56.4226,24.0469
61.09147,0.3883,1.1912,0.2397,0.0094,55.1517,24.0048
61.10315,0.3413,1.177,0.2477,5.7128,58.4768,22.9874
61.11346,0.3518,1.1809,0.2507,3.2146,56.9231,23.4961
61.12534,0.3624,1.1854,0.2536,0.8369,55.587,24.1373
61.13583,0.3747,1.1916,0.2571,358.0322,54.262,24.9234
61.14725,0.3836,1.1967,0.261,355.5327,53.3324,25.3002
61.15839,0.3891,1.2006,0.265,353.5639,52.8097,25.3136
61.16962,0.2937,1.1697,0.2519,7.3466,60.4913,24.3035
61.181,0.2986,1.1705,0.2556,5.5979,60.1506,23.9541
61.19124,0.3039,1.1712,0.2586,3.6911,59.73,23.7451
61.2025,0.3078,1.1715,0.2595,2.2899,59.2955,23.813
61.21364,0.2538,1.1644,0.2737,7.1043,61.452,24.2421
61.2254,0.2588,1.1631,0.2724,5.5318,60.8657,24.6617
61.23609,0.2629,1.1623,0.2717,4.2458,60.3964,24.983
61.24754,0.2235,1.1634,0.2924,6.7976,62.9979,24.4178
61.25832,0.2258,1.1625,0.2937,5.6061,62.5619,24.268
61.26899,0.2268,1.1621,0.298,4.2608,62.0887,23.5736
61.28067,0.2264,1.162,0.3025,3.2743,61.781,22.7797
61.29156,0.2254,1.1622,0.308,2.1932,61.523,21.7324
61.30291,0.2247,1.1622,0.3118,1.3386,61.3399,20.9739
61.31469,0.224,1.1613,0.314,0.4779,61.0526,20.4899
61.32499,0.1869,1.1523,0.2996,7.16,64.0123,23.4034
61.33655,0.1863,1.1507,0.3,6.5643,63.6281,23.1857
61.34718,0.1852,1.1493,0.3014,5.8664,63.1671,22.751
61.35866,0.1629,1.1534,0.3118,9.0323,65.92,22.3172
61.36953,0.1613,1.1534,0.3149,8.385,65.4936,21.4973
61.38097,0.1596,1.1538,0.3185,7.7573,65.097,20.5906
61.39209,0.1579,1.1543,0.3214,7.285,64.7701,19.8242
61.40302,0.1557,1.155,0.3247,6.7605,64.3314,18.949
61.41462,0.1535,1.1557,0.3274,6.3533,63.8826,18.2432
61.4253,0.15,1.1568,0.3309,5.929,63.2295,17.3285
61.43654,0.1418,1.1484,0.3163,10.5855,66.1991,22.0106
61.4479,0.1378,1.1503,0.3211,10.2821,65.3888,20.8647
61.45931,0.133,1.1532,0.3267,10.0407,64.5243,19.5193
61.47073,0.1302,1.1521,0.3258,12.7693,66.4839,20.7664
61.48136,0.1236,1.1565,0.3332,12.7707,65.3953,19.0149
61.49238,0.1174,1.1608,0.3396,12.8316,64.4015,17.4519
61.50469,0.1142,1.1575,0.3358,14.3231,66.7342,20.4714
61.51491,0.1058,1.1626,0.3431,14.6748,65.4351,18.7024
61.52578,0.0944,1.1698,0.3524,15.1015,63.604,16.4623
61.53679,0.0824,1.1773,0.3612,15.4571,61.5511,14.3319
61.54843,0.0727,1.1831,0.3677,15.6539,59.7618,12.8046
61.55926,0.0602,1.1897,0.3745,15.8162,57.3172,11.2628
61.57143,0.0493,1.1944,0.3792,15.8858,55.0381,10.2916
61.58178,0.0912,1.1644,0.365,15.2006,65.7652,19.5023
61.59265,0.0783,1.1681,0.3711,15.441,62.8995,19.0087
61.60534,0.0626,1.1732,0.3785,15.7873,59.4415,18.5972
61.615,0.0643,1.1798,0.3971,15.7101,63.8365,16.6362
61.62659,0.0492,1.1853,0.4042,16.9123,61.4152,16.6807
61.63733,0.0299,1.1931,0.4125,19.2227,58.9875,17.068
61.64841,0.029,1.2084,0.4455,17.2132,60.4768,14.0796
61.65952,0.006,1.2097,0.4443,22.1474,59.5227,17.1898
61.67053,-0.0101,1.2065,0.4343,26.7737,59.9525,22.193
61.68309,-0.0156,1.1982,0.4079,31.5286,63.2231,32.5515
61.69275,-0.0088,1.1943,0.3721,34.3646,68.4282,45.0317
61.70431,0.0095,1.2064,0.313,35.9889,77.2669,64.2092
61.7152,0.0382,1.2518,0.2396,35.1562,86.3652,86.9507
61.72694,-0.0138,1.2501,0.6122,17.9295,54.8157,10.6548
61.73754,-0.0113,1.2193,0.5133,27.932,56.7439,30.6057
61.74849,0.0115,1.2232,0.4402,33.1308,61.3389,47.9408
61.7597,0.0541,1.2463,0.3857,33.1926,70.9206,67.0242
61.77093,-0.0211,1.2631,0.6802,15.8966,47.7391,9.5889
61.78382,0.029,1.2341,0.7176,10.5312,59.504,14.6489
61.79339,0.0754,1.2124,0.7274,5.094,66.2699,19.6599
61.80421,0.0975,1.201,0.7223,2.641,68.3375,23.2895
61.81557,0.0983,1.1927,0.7183,2.8345,68.538,24.9772
61.82717,0.0819,1.1886,0.7202,4.8821,67.4527,24.1031
61.83735,-0.002,1.1874,0.6754,13.0233,37.8539,11.7872
61.84831,-0.0195,1.1888,0.6775,13.2427,34.2246,8.6845
61.8594,-0.0329,1.1889,0.6798,12.5093,30.6502,6.0382
61.87096,0.1538,1.1425,0.6325,4.6206,30.4157,22.7144
61.88204,0.1595,1.1397,0.6401,2.7354,29.7685,23.0094
61.89282,0.1664,1.1383,0.644,1.3127,29.9388,23.7304
61.90381,0.1718,1.1365,0.645,0.3354,30.4812,24.4966
61.91569,0.3172,1.1912,0.5974,352.3038,28.0378,25.5738
61.92638,0.3155,1.1887,0.5957,352.6696,27.9433,25.6539
61.93751,0.3143,1.1861,0.5948,353.2924,27.3727,25.8184
61.94879,0.3146,1.1849,0.5943,353.8216,26.7768,26.1221
61.96024,0.316,1.1847,0.593,354.3509,26.2272,26.6588
61.97078,0.318,1.1853,0.5918,354.5547,25.9647,27.181
61.98214,0.3868,1.2512,0.5824,350.1706,23.8114,28.8452
61.99285,0.3893,1.2537,0.5813,349.8092,23.9647,29.4198
62.00552,0.3899,1.2575,0.5768,349.3987,24.413,29.8763
62.01544,0.3897,1.2593,0.5724,348.984,25.0372,29.9998
62.02679,0.3716,1.2354,0.5812,356.0968,23.0022,36.0754
62.03748,0.3719,1.2341,0.5808,355.7213,23.1856,35.8332
62.04934,0.3724,1.233,0.5812,355.4589,23.1117,35.6084
62.05979,0.3733,1.2321,0.5823,355.2648,22.797,35.4103
62.07066,0.3744,1.2317,0.5836,355.0689,22.4143,35.2544
62.08224,0.376,1.2313,0.5856,354.7389,21.9015,35.0646
62.09324,0.3667,1.2192,0.5861,359.9085,24.9077,27.1993
62.10471,0.3683,1.2193,0.5875,359.4435,24.6404,27.0193
62.11553,0.3703,1.2198,0.588,358.8315,24.543,26.8185
62.12669,0.3722,1.2206,0.587,358.3569,24.6439,26.7317
62.13731,0.381,1.2282,0.5772,0.7953,23.9879,29.6561
62.14838,0.3835,1.2299,0.5758,0.3293,24.0219,29.7183
